id_eleve,sexe,pcs,retard,academie,type_etab,ressources_num,age,score_lecture
1,F,Ouvrier,0,Paris,Prive,0.37470710184319467,12,60.68
2,M,Professions_intermediaires,0,Marseille,Public,0.48881619733809173,10,88.52
3,M,Professions_intermediaires,0,Bordeaux,Prive,0.5913528913888204,10,79.76
4,F,Agriculteur,0,Toulouse,Prive,0.6963206969884536,11,78.79
5,F,Professions_intermediaires,0,Lyon,Prive,0.6869389616935347,10,71.75
6,M,Employe,0,Lille,Public,0.5585389169462116,12,49.03
7,F,Cadre,0,Lyon,Prive,0.5111247064750621,10,100.0
8,M,Cadre,1,Paris,Prive,0.43510257569335753,10,67.01
9,F,Retraite,0,Toulouse,Prive,0.4504811590987505,13,78.85
10,F,Professions_intermediaires,0,Paris,Prive,0.3439413501490861,12,61.43
11,M,Professions_intermediaires,0,Nancy,Prive,0.4143081396197311,10,81.17
12,M,Agriculteur,0,Toulouse,Prive,0.5707653317938456,13,72.16
13,M,Cadre,0,Lille,Prive,0.8080706321982205,12,100.0
14,M,Retraite,0,Lyon,Public,0.47005464288988696,13,68.56
15,M,Agriculteur,0,Marseille,Prive,0.33846357057165855,12,62.39
16,M,Retraite,1,Bordeaux,Public,0.6938508263341199,13,50.79
17,M,Agriculteur,0,Bordeaux,Public,0.09951690783232392,13,56.01
18,F,Professions_intermediaires,1,Marseille,Public,0.7086298948346675,11,67.62
19,M,Ouvrier,0,Lille,Prive,0.21343238192392022,10,46.53
20,F,Professions_intermediaires,0,Nantes,Public,0.6314319236070985,13,72.07
21,M,Ouvrier,1,Nancy,Prive,0.40478215769992076,12,36.46
22,F,Professions_intermediaires,1,Bordeaux,Prive,0.5641818868926017,13,62.45
23,F,Agriculteur,0,Nancy,Prive,0.9166299053418328,10,79.15
24,M,Professions_intermediaires,0,Toulouse,Public,0.3324446757036444,11,67.37
25,M,Employe,0,Nancy,Public,0.2998898267624807,10,72.1
26,M,Ouvrier,0,Nantes,Prive,0.5156423576757457,11,66.975
27,F,Agriculteur,0,Paris,Public,0.8050655915462932,13,72.08
28,M,Agriculteur,0,Paris,Public,0.5358330090336962,10,59.41
29,M,Cadre,0,Toulouse,Public,0.5089231428637311,11,82.62
30,F,Agriculteur,0,Nancy,Prive,0.5338159881422021,13,64.63
31,F,Agriculteur,1,Lyon,Public,0.2990656044160256,11,38.13
32,F,Professions_intermediaires,0,Nancy,Prive,0.5358455219070962,12,83.03
33,F,Ouvrier,0,Paris,Public,0.42143386676475075,11,69.92
34,M,Retraite,0,Lyon,Prive,0.7644923481255277,10,69.28
35,M,Cadre,1,Toulouse,Public,0.659597558502216,13,67.46
36,F,Agriculteur,0,Paris,Prive,0.23525298006032785,13,57.02
37,M,Retraite,1,Bordeaux,Public,0.4433733438183748,11,33.18
38,M,Cadre,0,Nancy,Prive,0.6055971877346714,13,93.48
39,F,Professions_intermediaires,0,Nancy,Public,0.3036944557659329,11,59.75
40,M,Ouvrier,0,Nancy,Public,0.28414545638448374,12,49.68
41,F,Retraite,0,Bordeaux,Prive,0.4076039406942277,11,57.6
42,M,Ouvrier,1,Bordeaux,Public,0.5688882113406449,11,45.33
43,M,Professions_intermediaires,0,Bordeaux,Public,0.7074304721447267,13,76.79
44,F,Cadre,0,Lyon,Prive,0.5464148712147792,10,81.39
45,F,Ouvrier,0,Bordeaux,Prive,0.9924672629541137,11,84.57
